pr_number,priorities_number,author_identity,has_labels,mergable_state,has_assignees_content,commit_num,file_changed_num,total_add_line,total_delete_line,label_count,pre_prs,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor,directory_num,subsystem_num,language_num,file_type_num,segs_added_num,segs_deleted_num,segs_updated_num,changes_files_modified,file_developer_num,change_num,recent_change_num,testinclusion
313,3,0,0,0,0,2,2,2,3,0,1,0,1,0,0,0,0,0,2,1,0,0,2,1,2,2,0,1,2,0
314,3,0,0,2,0,2,2,3,3,0,1,2,2,0,0,0,0,0,2,0,0,0,1,1,3,3,0,1,2,0
315,3,0,0,2,0,2,1,1,3,0,1,3,1,1,0,0,0,0,1,1,1,1,0,1,2,1,0,1,2,0
316,0,0,0,0,0,2,3,4,3,0,4,4,3,0,0,0,0,0,3,1,1,1,2,1,3,2,0,4,4,0
317,0,0,0,0,0,2,3,4,3,0,3,4,3,0,0,0,0,0,3,1,1,1,2,1,3,1,0,4,4,0
318,1,0,0,0,0,2,3,2,2,0,1,3,2,0,0,0,0,0,3,1,1,1,2,1,1,4,0,1,2,0
319,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,0
320,0,0,0,0,0,0,2,1,1,0,4,2,3,0,0,0,0,0,4,1,0,0,1,1,1,2,0,3,4,0
321,3,0,0,0,0,1,1,2,2,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0
322,4,0,0,0,0,2,2,3,3,0,1,1,4,0,0,0,0,0,2,0,1,1,1,1,3,0,0,1,1,0
323,2,0,0,0,0,2,3,2,3,0,1,0,3,0,0,0,0,0,3,1,1,1,2,1,3,2,0,1,1,0
324,4,0,0,2,0,1,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0
325,2,0,0,2,0,2,3,3,2,0,1,2,4,0,0,0,0,0,3,1,1,1,3,1,2,2,0,1,1,0
326,3,0,0,0,0,1,1,2,2,0,1,0,3,0,0,0,0,0,1,1,1,1,2,1,2,2,0,1,0,0
327,2,0,0,0,0,2,1,3,1,0,1,3,1,0,0,0,0,0,1,1,1,1,3,0,1,2,0,1,0,0
328,2,0,0,2,0,4,4,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0
329,4,0,0,2,0,2,3,3,2,0,1,4,4,0,0,0,0,0,3,1,1,1,3,1,2,3,0,1,0,0
330,3,0,0,2,0,2,3,3,2,0,1,0,1,0,0,0,0,0,3,1,1,1,3,1,2,2,0,1,0,0
331,4,0,0,2,0,2,1,1,2,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,2,2,0,1,0,0
332,4,0,0,2,0,2,1,1,1,0,1,1,0,0,0,0,0,0,2,1,1,1,2,1,2,2,0,1,0,0
333,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
334,3,0,0,2,0,2,3,3,3,0,1,0,2,0,0,0,0,0,2,1,1,1,1,1,3,4,0,1,0,0
335,2,0,0,0,0,1,2,2,2,0,1,2,2,0,0,0,0,0,2,1,1,1,2,1,2,2,0,1,0,0
336,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
337,1,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0
338,1,0,0,2,0,2,3,3,2,0,1,1,1,0,0,0,0,0,3,1,1,1,3,1,2,2,0,1,0,0
339,4,0,0,2,0,2,1,2,3,0,1,1,4,0,0,0,0,0,3,0,1,1,1,1,3,1,0,1,0,0
341,2,0,0,2,0,1,2,3,3,0,2,1,2,0,0,0,0,0,4,1,1,1,1,0,3,2,0,2,4,0
342,1,0,0,0,0,2,3,3,2,0,1,1,2,0,0,0,0,0,3,1,1,1,3,1,2,2,0,1,1,0
343,2,0,0,2,0,1,1,3,1,0,2,3,3,0,0,0,0,0,1,1,0,0,3,0,1,2,0,2,3,0
344,4,0,0,0,0,2,3,4,3,0,4,3,3,0,0,0,0,0,4,1,1,1,2,1,3,2,0,4,4,0
345,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0
346,0,0,0,0,0,1,1,3,2,0,2,4,1,0,0,0,0,0,1,1,1,1,3,1,1,2,0,2,3,0
347,1,0,0,0,0,0,1,1,2,0,3,3,3,0,0,0,0,0,4,0,1,0,1,1,1,1,0,4,4,0
348,0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0
349,0,0,0,0,0,1,1,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,3,0
350,4,2,0,0,0,2,4,4,3,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
351,0,2,0,0,0,2,2,1,3,0,4,2,2,0,0,0,0,0,4,1,1,1,1,1,3,2,4,4,4,0
352,0,0,0,0,0,2,3,3,3,0,2,1,1,0,0,0,0,0,3,1,1,1,2,1,2,3,0,2,3,0
