pr_number,priorities_number,author_identity,has_labels,mergable_state,has_assignees_content,self_accept_rate,self_closed_num_rate,self_contribution_rate,project_accept_rate,is_weekday,comment_num,review_comment_num,commit_num,file_changed_num,total_add_line,total_delete_line,label_count,workload,pre_prs,change_num,accept_num,close_num,review_num,participants_count,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor,deletions_per_week,additions_per_week,changes_per_week,per_lines_deleted_week_days,per_lines_added_week_days,per_lines_changed_week_days,deletions_per_pr,additions_per_pr,changes_per_pr,commits_average,comments_per_closed_pr,comments_per_merged_pr,close_latency,merge_latency
2134,2,2,0,0,0,0.9738058551617874,0.9953775038520801,0.47685525349008084,0.7053637031594416,1,0,3,2,101,120,121,0,11,649,291539,633,646,267,1,8,48,0,0,0,0,0,1033.5661157024792,1167.7355371900826,2201.301652892562,81.95652173913044,284.80193236714973,366.75845410628017,198.18368846436445,210.21528288023512,408.39897134459954,2.2770022042615725,2.457777777777778,2.24375,8.086666666666666,3.2822916666666666
2135,1,2,0,0,0,0.9738461538461538,0.9953846153846154,0.47723935389133626,0.7055800293685757,0,0,0,4,13,272,84,0,11,650,291780,634,647,0,1,2,7,0,0,0,0,0,1033.5661157024792,1167.7355371900826,2201.301652892562,130.25274725274724,113.07692307692308,243.32967032967034,198.12701908957416,210.1490455212922,408.2760646108664,2.276798825256975,2.4559585492227978,2.2414151925078043,8.081421169504072,3.279916753381894
2142,0,2,1,0,0,1,0,0.0,0.7057960381511372,1,10,5,4,2,9,9,2,11,0,0,0,0,0,2,12,28,0,0,0,0,0,1110.835390946502,1178.991769547325,2289.8271604938273,534.4304347826087,204.65217391304347,739.0826086956522,198.0432868672047,210.19442406456346,408.23771093176816,2.2780630961115187,2.4541420118343193,2.239085239085239,8.076183431952662,3.2775467775467777
2144,3,1,1,0,0,0.9166666666666666,1.0,0.008797653958944282,0.7052785923753666,1,1,0,1,3,3,3,2,12,12,1542,11,12,0,2,7,28,0,0,0,0,0,1110.835390946502,1178.991769547325,2289.8271604938273,82.14423076923077,284.00961538461536,366.15384615384613,197.90469208211144,210.04692082111438,407.9516129032258,2.279325513196481,2.4541420118343193,2.239085239085239,8.076183431952662,3.2775467775467777
2148,0,2,1,0,0,1,0,0.0,0.7054945054945055,1,5,3,2,1,17,47,2,12,0,0,0,0,0,2,6,10,0,0,0,0,0,1106.3319672131147,1174.2090163934427,2280.5409836065573,162.3206106870229,171.20229007633588,333.5229007633588,197.76190476190476,209.89523809523808,407.65714285714284,2.2783882783882783,2.453067257945307,2.237798546209761,8.070953436807095,3.2751817237798546
2150,2,2,0,0,0,0.9738863287250384,0.9953917050691244,0.4765739385065886,0.7049780380673499,1,1,0,1,1,5,0,0,12,651,292136,635,648,0,1,7,13,0,0,0,0,0,1106.3319672131147,1174.2090163934427,2280.5409836065573,532.1558441558442,203.80519480519482,735.961038961039,197.6515373352855,209.7540263543192,407.40556368960466,2.278184480234261,2.45864106351551,2.237798546209761,8.069423929098965,3.2751817237798546
2151,3,2,0,0,0,0.9723926380368099,0.9938650306748467,0.4769568397951719,0.7044623262618873,1,0,0,1,2,96,25,0,13,652,292141,636,648,0,1,5,26,0,0,0,0,0,1106.3319672131147,1174.2090163934427,2280.5409836065573,529.8620689655172,202.94827586206895,732.8103448275862,197.5069495245062,209.60424286759326,407.1111923920995,2.2772494513533283,2.45864106351551,2.237798546209761,8.069423929098965,3.2751817237798546
2154,1,0,0,0,0,1,0,0.0,0.7054093567251462,1,0,0,1,1,2,2,0,12,0,0,0,0,0,1,7,41,0,0,0,0,0,1102.1102040816327,1169.8979591836735,2272.008163265306,527.695278969957,202.4892703862661,730.1845493562232,197.38084795321637,209.52119883040936,406.90204678362574,2.276315789473684,2.4557522123893807,2.23419689119171,8.058997050147493,3.270466321243523
2155,3,1,0,0,0,0.6363636363636364,0.9090909090909091,0.008035062089116142,0.7048940832724616,1,1,0,1,5,13256,6,0,13,11,2023,8,10,0,2,7,14,0,0,0,0,0,1102.1102040816327,1169.8979591836735,2272.008163265306,525.4487179487179,201.63247863247864,727.0811965811965,197.2381300219138,209.36961285609934,406.60774287801314,2.2753834915997078,2.4557522123893807,2.23419689119171,8.058997050147493,3.270466321243523
2156,4,2,1,0,0,0.9739663093415007,0.9954058192955589,0.47664233576642334,0.7072992700729926,1,1,0,1,5,10687,8773,2,10,653,292262,637,650,0,1,9,20,0,0,0,0,0,1102.1102040816327,1169.8979591836735,2272.008163265306,81.76555023923444,282.6650717703349,364.4306220095694,197.0985401459854,218.89270072992701,415.9912408759124,2.2744525547445256,2.4669117647058822,2.2507739938080493,8.158088235294118,3.4293085655314757
